,AGIXUSDT,FETUSDT,GRTUSDT,INJUSDT,LDOUSDT,OPUSDT,RNDRUSDT,SHIB1000USDT
pnl_ratio,0.13048832510533673,0.24368224862743293,0.10037611440306805,0.17681940256853648,0.11691947307543257,0.06967042625856895,0.09029435543221664,0.07174965452940768
pnl_ratio_long_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pnl_long,671.6429148371786,1254.2689595416796,516.6508651504602,910.115896154171,601.8020051542443,358.6040983550044,464.75854469648584,369.3061970700478
pnl_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_profit_long,824.2022823480269,1667.5950826647793,730.6786484529462,1215.131712238475,985.8302691496671,533.292475962116,595.5482289535726,418.4065317193141
sum_loss_long,-152.5593675108484,-413.32612312309976,-214.02778330248594,-305.0158160843041,-384.0282639954227,-174.68837760711165,-130.78968425708675,-49.1003346492662
loss_profit_ratio_long,0.18509942374368338,0.2478576048944771,0.2929164329019925,0.25101461266483954,0.3895480550893089,0.3275658020337815,0.219612246159971,0.11735078428987077
sum_profit_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_loss_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_profit_ratio_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stuck_time_ratio_long,0.017663255234038132,0.011481115902124786,0.0018182762740921606,0.07527663774741546,0.016208634214764404,0.00041560600550677955,0.0009870642630786014,0.0
stuck_time_ratio_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_fills_per_day,18.433915211970074,16.112219451371573,12.266832917705736,11.099750623441397,15.17206982543641,8.765586034912719,14.211970074812967,12.701995012468828
upnl_pct_min_long,-0.07656193173148894,-0.0555067841396079,-0.06796713745831788,-0.14729384345466628,-0.12553482275028305,-0.07059974632461191,-0.10014284884275085,-0.06897335568448762
upnl_pct_min_short,,,,,,,,
