,AGIXUSDT,FETUSDT,GRTUSDT,LDOUSDT,NEARUSDT,OPUSDT,RNDRUSDT,SHIB1000USDT
pnl_ratio,0.140570576752673,0.0982194914052076,0.15804857870082992,0.11350983657644918,0.08609737097158711,0.12528902331071856,0.17639205900677998,0.10187306327575467
pnl_ratio_long_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pnl_long,415.68896943293953,290.450250000001,467.3741284855298,335.6661691015528,254.60326219643238,370.4990488367032,521.6186411022059,301.2544279489117
pnl_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_profit_long,432.01988718732787,296.901478750001,485.8882798677322,381.27787631214846,325.6064076414055,413.95934724081053,544.7156695229987,315.4463723694921
sum_loss_long,-16.33091775438831,-6.4512287499999825,-18.514151382202396,-45.611707210595775,-71.00314544497313,-43.46029840410736,-23.097028420793094,-14.191944420580441
loss_profit_ratio_long,0.03780131016817536,0.021728516736126094,0.03810372085377793,0.11962851779329026,0.21806433712192114,0.10498687538712688,0.042401990089653376,0.04499003844608166
sum_profit_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_loss_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_profit_ratio_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stuck_time_ratio_long,0.0025155914260258897,0.0006813060112153451,0.002620407735443635,0.003458938210785598,0.00445469315025418,0.003825795293747707,0.0032493055919501075,0.003511346365494471
stuck_time_ratio_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_fills_per_day,5.708176100628931,5.922012578616352,10.212578616352202,8.09433962264151,8.39622641509434,10.81132075471698,14.582389937106917,8.618867924528303
upnl_pct_min_long,-0.05287630158521233,-0.025022802574851673,-0.048761020157098586,-0.06332423908841545,-0.06416338203513026,-0.05951672115465801,-0.05019994964422187,-0.050459201294071734
upnl_pct_min_short,,,,,,,,
